recipient_id,recipient_email,status,error
2,isha.agrawal1@gmail.com,sent,
7,nikhil.jit6@gmail.com,sent,
4,rajat.khan3@gmail.com,sent,
3,pavan.chopra2@gmail.com,sent,
10,raj.bhatt9@gmail.com,sent,
11,kavya.mehra10@gmail.com,sent,
14,rajesh.reddy13@gmail.com,sent,
15,lokanath.kothari14@gmail.com,sent,
21,emma.kaushik20@gmail.com,sent,
22,suman.kashyap21@gmail.com,sent,
24,kajal.bhat23@gmail.com,sent,
27,tina.saraf26@gmail.com,sent,
26,ava.khan25@gmail.com,sent,
29,samir.pillay28@gmail.com,sent,
31,zara.choudhary30@gmail.com,sent,
32,mia.kothari31@gmail.com,sent,
35,lokanath.malhotra34@gmail.com,sent,
34,lokesh.goyal33@gmail.com,sent,
37,lokesh.bhatt36@gmail.com,sent,
38,mira.tilak37@gmail.com,sent,
39,olivia.verma38@gmail.com,sent,
42,vijay.pknambiar41@gmail.com,sent,
45,sunita.raju44@gmail.com,sent,
49,suman.bhatt48@gmail.com,sent,
53,pooja.singhal52@gmail.com,sent,
55,pari.saxena54@gmail.com,sent,
56,mohammed.kothari55@gmail.com,sent,
58,lucas.banerjee57@gmail.com,sent,
60,nivaan.seth59@gmail.com,sent,
68,bala.yadav67@gmail.com,sent,
69,mohammed.chopra68@gmail.com,sent,
71,manish.krishnan70@gmail.com,sent,
72,aya.bhattacharya71@gmail.com,sent,
73,sunita.kaushik72@gmail.com,sent,
74,pranali.singh73@gmail.com,sent,
75,hema.bose74@gmail.com,sent,
76,rahul.chopra75@gmail.com,sent,
79,sachin.varadarajan78@gmail.com,sent,
82,shiv.adani81@gmail.com,sent,
83,amelia.adani82@gmail.com,sent,
85,varun.saxena84@gmail.com,sent,
86,aya.chandra85@gmail.com,sent,
84,pranali.choudhary83@gmail.com,sent,
87,madhav.mukherjee86@gmail.com,sent,
94,reza.kashyap93@gmail.com,sent,
95,amelia.bhardwaj94@gmail.com,sent,
96,sanjay.seth95@gmail.com,sent,
99,aditya.kumar98@gmail.com,sent,
100,amelia.shinde99@gmail.com,sent,
98,bhavna.dias97@gmail.com,sent,
101,isha.jain100@gmail.com,sent,
103,emma.patel102@gmail.com,sent,
104,arya.joshi103@gmail.com,sent,
105,arya.fernandes104@gmail.com,sent,
108,sneha.bharadwaj107@gmail.com,sent,
109,gita.jit108@gmail.com,sent,
110,lokesh.parekh109@gmail.com,sent,
111,liya.sarma110@gmail.com,sent,
112,atul.goyal111@gmail.com,sent,
118,ananya.dias117@gmail.com,sent,
117,zara.bose116@gmail.com,sent,
120,varun.gowda119@gmail.com,sent,
119,sakshi.raj118@gmail.com,sent,
121,reza.fernandes120@gmail.com,sent,
122,hema.shetty121@gmail.com,sent,
123,amelia.kashyap122@gmail.com,sent,
124,amelia.shaw123@gmail.com,sent,
127,ishan.ambani126@gmail.com,sent,
130,lokanath.fernandes129@gmail.com,sent,
131,samir.malhotra130@gmail.com,sent,
132,rajveer.verma131@gmail.com,sent,
133,karan.bose132@gmail.com,sent,
135,shreya.sarma134@gmail.com,sent,
137,sameer.singh136@gmail.com,sent,
138,mahesh.krishnan137@gmail.com,sent,
142,yash.reddy141@gmail.com,sent,
